0,17
1,26
2,45
3,60
4,84
5,110
6,137
7,176
8,220
9,266
10,311
11,369
12,433
13,500
14,573
15,646
16,732
17,826
18,924
19,1032
20,1129
21,1275
22,1397
23,1530
24,1672
25,1778
26,1876
27,2012
28,2129
29,2250
30,2363
31,2463
32,2621
33,2702
34,2766
35,2803
36,2861
37,2926
38,2980
39,3053
40,3120
41,3205
42,3288
43,3391
44,3497
45,3603
46,3832
47,4029
48,4306
49,4638
50,4994
51,5446
52,5867
53,6574
54,7233
55,8071
56,9067
57,10195
58,11616
59,13284
60,14977
61,16975
62,19555
63,22196
64,25321
65,28880
66,32743
67,36253
68,40568
69,45341
70,50751
71,57167
72,63401
73,69802
74,75157
75,80951
76,88802
77,95844
78,103831
79,111196
80,117711
81,123618
82,129575
83,137271
84,145711
85,152963
86,161787
87,168724
88,173958
89,180001
90,187744
91,194695
92,201873
93,208714
94,215284
95,219657
96,224874
97,232365
98,239484
99,245849
100,252288
101,258578
102,263042
103,267976
104,274522
105,281881
106,288298
107,294445
108,299442
109,304535
110,308925
111,315450
112,321144
113,327046
114,332900
115,337965
116,341957
117,346318
118,352262
119,357630
120,363367
121,368775
122,373585
123,377658
124,381974
125,386660
126,392373
127,397662
128,403138
129,408010
130,412075
131,416145
132,421708
133,427309
134,432969
135,438267
136,443125
137,447476
138,451644
139,457276
140,463124
141,468714
142,474042
143,479111
144,483394
145,487854
146,495286
147,501128
148,506960
149,512722
150,517791
151,522126
152,526131
153,531950
154,537441
155,542946
156,548248
157,553313
158,557501
159,562099
160,567834
161,573334
162,578923
163,584547
164,589598
165,593809
166,598269
167,604399
168,610271
169,616265
170,622148
171,627694
172,632605
173,637301
174,643544
175,649834
176,656365
177,662561
178,668193
179,673190
180,678102
181,684682
182,692143
183,698968
184,705679
185,711842
186,716569
187,721518
188,727850
189,735082
190,742456
191,749211
192,755272
193,760075
194,765272
195,772145
196,779455
197,786317
198,793208
199,799165
200,804429
201,809638
202,816433
203,823382
204,830301
205,836772
206,842786
207,847796
208,852910
209,859830
210,866758
211,873257
212,879758
213,885753
214,890619
215,895535
216,902225
217,908805
218,915194
219,921351
220,927013
221,931541
222,936356
223,942803
224,949286
225,955439
226,961520
227,966697
228,971210
229,975552
230,980455
231,986622
232,992606
233,998547
234,1003766
235,1008005
236,1012691
237,1019023
238,1025050
239,1030763
240,1036630
241,1041755
242,1045981
243,1050123
244,1055885
245,1061832
246,1067325
247,1072841
248,1078129
249,1082110
250,1085960
251,1091738
252,1097485
253,1103090
254,1108800
255,1113681
256,1117911
257,1122515
258,1128383
259,1134385
260,1140954
261,1146940
262,1152295
263,1156661
264,1160783
265,1166096
266,1172282
267,1178447
268,1184816
269,1190643
270,1194941
271,1199775
272,1206304
273,1213206
274,1219719
275,1226375
276,1232352
277,1237177
278,1242691
279,1250094
280,1257325
281,1264606
282,1272243
283,1279106
284,1284861
285,1291140
286,1299760
287,1309262
288,1318260
289,1327655
290,1335636
291,1342215
292,1349544
293,1359289
294,1369610
295,1379331
296,1389384
297,1398967
298,1406322
299,1414276
300,1425169
301,1437081
302,1448395
303,1459673
304,1469138
305,1477212
306,1485913
307,1498191
308,1510450
309,1521698
310,1532753
311,1542570
312,1550560
313,1559531
314,1572049
315,1584616
316,1597463
317,1610006
318,1620667
319,1628916
320,1637931
321,1650535
322,1663157
323,1676179
324,1688878
325,1700056
326,1708578
327,1718151
328,1731734
329,1745556
330,1759008
331,1771912
332,1783456
333,1792442
334,1802643
335,1816355
336,1830182
337,1842515
338,1851730
339,1859676
340,1868148
341,1878208
342,1893018
343,1908486
344,1922564
345,1932901
346,1941953
347,1950313
348,1960677
349,1975437
350,1990466
351,2005363
352,2020836
353,2033924
354,2043606
355,2053984
356,2070661
357,2087435
358,2103379
359,2118776
360,2132771
361,2142683
362,2153020
363,2169040
364,2186537
365,2203453
366,2219545
367,2234194
368,2244477
369,2255317
370,2272445
371,2289884
372,2306750
373,2322069
374,2335245
375,2345146
376,2355562
377,2371200
378,2386783
379,2401211
380,2415483
381,2427189
382,2435348
383,2444605
384,2458502
385,2472315
386,2485666
387,2497968
388,2508568
389,2515822
390,2523188
391,2533583
392,2544909
393,2556462
394,2567785
395,2576667
396,2583575
397,2590802
398,2601759
399,2612464
400,2623144
401,2633080
402,2641648
403,2648290
404,2655577
405,2665665
406,2676519
407,2686716
408,2696542
409,2704701
410,2710800
411,2717894
412,2727225
413,2737290
414,2747163
415,2756780
416,2765159
417,2771327
418,2778647
419,2788995
420,2799434
421,2809610
422,2820146
423,2828752
424,2835053
425,2842669
426,2853567
427,2863981
428,2874786
429,2886525
430,2896634
431,2903894
432,2911966
433,2923376
434,2935635
435,2947441
436,2958110
437,2967369
438,2974956
439,2983035
440,2995529
441,3008758
442,3022804
443,3036360
444,3047776
445,3056709
446,3066242
447,3079525
448,3093364
449,3107635
450,3120646
451,3132785
452,3142851
453,3153463
454,3168162
455,3182515
456,3196351
457,3211041
458,3225140
459,3235605
460,3247100
461,3262710
462,3278447
463,3294246
464,3308903
465,3322831
466,3333591
467,3345108
468,3359830
469,3375092
470,3389701
471,3404152
472,3417690
473,3428625
474,3440156
475,3454678
476,3469295
477,3483746
478,3497792
479,3511156
480,3521783
481,3533295
482,3548154
483,3561885
484,3575879
485,3589509
486,3601166
487,3611647
488,3621205
489,3634048
490,3646833
491,3658777
492,3670799
493,3681755
494,3690287
495,3699221
496,3710305
497,3721611
498,3732719
499,3743184
500,3752538
501,3760300
502,3768243
503,3778525
504,3788739
505,3798917
506,3808345
507,3816983
